周波数 (Hz)	レベル (dB)
10766.601563	-68.228920
10852.734375	-69.487228
10938.867188	-70.830681
11025.000000	-73.546448
11111.132813	-76.232391
11197.265625	-78.310898
11283.398438	-79.551460
11369.531250	-75.929626
11455.664063	-73.928200
11541.796875	-79.442017
11627.929688	-85.806816
11714.062500	-82.454903
11800.195313	-82.245743
11886.328125	-81.378624
11972.460938	-87.469849
12058.593750	-94.463730
12144.726563	-86.209770
12230.859375	-80.960236
12316.992188	-77.278564
12403.125000	-76.229813
12489.257813	-79.053276
12575.390625	-70.648697
12661.523438	-68.238678
12747.656250	-68.140732
12833.789063	-70.332886
12919.921875	-77.022934
13006.054688	-83.779984
13092.187500	-75.778465
13178.320313	-70.810616
13264.453125	-68.275322
13350.585938	-67.140671
13436.718750	-71.969734
13522.851563	-68.232475
13608.984375	-64.652641
13695.117188	-66.842567
13781.250000	-71.368004
13867.382813	-78.600891
13953.515625	-77.882523
14039.648438	-68.954407
14125.781250	-64.001991
14211.914063	-61.873798
14298.046875	-63.805180
14384.179688	-60.503983
14470.312500	-57.974346
14556.445313	-58.809719
14642.578125	-62.592545
14728.710938	-61.453255
14814.843750	-60.117710
14900.976563	-62.623875
14987.109375	-62.914276
15073.242188	-61.069691
15159.375000	-59.809746
15245.507813	-58.472359
15331.640625	-59.310844
15417.773438	-62.616508
15503.906250	-66.500832
15590.039063	-64.150948
15676.171875	-62.837639
15762.304688	-66.357384
15848.437500	-77.654655
15934.570313	-89.483192
16020.703125	-93.099289
16106.835938	-98.408501
16192.968750	-110.411263
16279.101563	-118.887131
16365.234375	-124.447304
16451.367188	-130.398178
16537.500000	-130.556717
16623.632813	-134.381439
16709.765625	-135.992096
16795.898438	-137.195435
16882.031250	-140.579544
16968.164063	-139.682556
17054.296875	-142.659943
17140.429688	-143.152557
17226.562500	-141.801910
17312.695313	-144.435867
17398.828125	-146.634506
17484.960938	-147.042511
17571.093750	-144.169861
17657.226563	-143.172745
17743.359375	-145.246994
17829.492188	-146.820709
17915.625000	-146.621185
18001.757813	-147.420013
18087.890625	-147.454590
18174.023438	-145.013824
18260.156250	-144.452606
18346.289063	-144.917343
18432.421875	-142.722412
18518.554688	-140.320724
18604.687500	-141.471039
18690.820313	-144.873062
18776.953125	-146.055710
18863.085938	-147.826553
18949.218750	-145.654968
19035.351563	-143.990952
19121.484375	-146.614487
19207.617188	-147.096085
19293.750000	-145.447647
19379.882813	-147.499207
19466.015625	-146.383926
19552.148438	-145.193512
19638.281250	-147.592499
19724.414063	-146.453323
19810.546875	-144.306091
19896.679688	-138.683151
19982.812500	-139.270554
20068.945313	-143.884674
20155.078125	-147.062653
20241.210938	-142.892639
20327.343750	-141.460297
20413.476563	-143.555786
20499.609375	-145.966003
20585.742188	-148.809692
20671.875000	-146.405472
20758.007813	-148.630875
20844.140625	-147.303665
20930.273438	-144.788773
21016.406250	-143.542755
21102.539063	-142.349884
21188.671875	-143.743118
21274.804688	-145.885254
21360.937500	-141.867691
21447.070313	-143.329453
21533.203125	-145.208664
21619.335938	-146.756165
21705.468750	-146.381317
21791.601563	-143.263046
21877.734375	-144.899918
21963.867188	-149.251144
